2013-03-24T05:34:30+00:00 INFO (6): Max Invoice: 
2013-03-24T05:34:44+00:00 INFO (6): Max Invoice: 1
2013-03-24T05:34:56+00:00 INFO (6): Max Invoice: 1
2013-03-24T05:52:21+00:00 INFO (6): Max Invoice: 1
2013-03-24T05:52:32+00:00 INFO (6): Max Invoice: 1
2013-03-24T05:52:44+00:00 INFO (6): Max Invoice: 1
2013-03-24T05:52:55+00:00 INFO (6): Max Invoice: 1
2013-03-24T05:54:42+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:03:44+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:04:22+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:07:09+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:11:55+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:20:23+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:20:50+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:21:20+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:21:47+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:22:09+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:22:38+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:23:00+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:23:26+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:24:03+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:24:54+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:25:20+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:26:21+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:26:59+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:27:26+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:27:49+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:28:13+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:30:22+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:32:23+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:32:54+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:33:17+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:34:37+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:34:49+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:47:04+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:47:16+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:48:25+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:48:37+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:48:49+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:49:00+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:49:13+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:50:44+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:51:38+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:52:51+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:53:03+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:53:29+00:00 INFO (6): Max Invoice: 1
2013-03-24T06:57:58+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:02:33+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:03:29+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:04:35+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:07:48+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:10:22+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:10:50+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:15:11+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:15:27+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:22:09+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:22:21+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:22:33+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:24:17+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:24:29+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:24:55+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:28:00+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:29:12+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:29:39+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:30:15+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:30:35+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:30:51+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:31:09+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:31:23+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:31:38+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:31:52+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:32:10+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:32:25+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:39:29+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:43:32+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:43:56+00:00 INFO (6): Max Invoice: 1
2013-03-24T07:44:22+00:00 INFO (6): Max Invoice: 1
